ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2022-08-20,24,26.072222222222223,2022-08-20,71142.962,0.013646986353854362
2022-08-22,12,26.055555555555557,2022-08-22,36251.883,0.013646986353854362
2022-08-23,8,25.91111111111111,2022-08-23,303807.52,0.013646986353854362
2022-08-24,20,25.933333333333334,2022-08-24,210440.716,0.013646986353854362
2022-08-25,11,25.88888888888889,2022-08-25,82248.803,0.013646986353854362
2022-08-26,29,25.627777777777776,2022-08-26,137494.167,0.013646986353854362
2022-08-27,63,25.966666666666665,2022-08-27,147585.45799999998,0.013646986353854362
2022-08-28,1,25.933333333333334,2022-08-28,32137.734,0.013646986353854362
2022-08-29,10,25.9,2022-08-29,108664.243,0.013646986353854362
2022-08-30,5,25.7,2022-08-30,214995.39,0.013646986353854362
2022-08-31,26,25.77777777777778,2022-08-31,92836.995,0.013646986353854362
2022-09-01,12,25.594444444444445,2022-09-01,190292.657,0.013646986353854362
2022-09-02,4,24.97222222222222,2022-09-02,77790.51299999999,0.013646986353854362
2022-09-03,83,25.42222222222222,2022-09-03,16170.181999999999,0.013646986353854362
2022-09-04,3,25.36111111111111,2022-09-04,5212.96,0.013646986353854362
2022-09-05,8,25.377777777777776,2022-09-05,104330.69,0.013646986353854362
2022-09-06,18,25.35,2022-09-06,412338.89999999997,0.013646986353854362
2022-09-07,21,25.344444444444445,2022-09-07,137512.644,0.013646986353854362
2022-09-08,8,25.094444444444445,2022-09-08,94201.767,0.013646986353854362
2022-09-09,20,25.022222222222222,2022-09-09,146707.248,0.013646986353854362
2022-09-10,75,25.433333333333334,2022-09-10,76002.072,0.013646986353854362
2022-09-11,12,25.227777777777778,2022-09-11,5826.371,0.013646986353854362
2022-09-12,10,25.216666666666665,2022-09-12,164895.89500000002,0.013646986353854362
2022-09-13,6,25.06111111111111,2022-09-13,163483.199,0.013646986353854362
2022-09-14,48,25.22222222222222,2022-09-14,196856.603,0.013646986353854362
2022-09-15,9,25.07777777777778,2022-09-15,90158.234,0.013646986353854362
2022-09-16,10,24.594444444444445,2022-09-16,413763.638,0.013646986353854362
2022-09-17,97,25.044444444444444,2022-09-17,19547.634,0.013646986353854362
2022-09-18,4,25.016666666666666,2022-09-18,156.446,0.013646986353854362
2022-09-19,19,25.105555555555554,2022-09-19,85460.03199999999,0.013646986353854362
2022-09-20,8,24.916666666666668,2022-09-20,932094.254,0.013646986353854362
2022-09-21,31,25.055555555555557,2022-09-21,68361.342,0.013646986353854362
2022-09-22,18,24.994444444444444,2022-09-22,160711.855,0.013646986353854362
2022-09-23,31,24.622222222222224,2022-09-23,148182.077,0.013646986353854362
2022-09-24,77,25.005555555555556,2022-09-24,118815.407,0.013646986353854362
2022-09-26,7,24.966666666666665,2022-09-26,209940.142,0.013646986353854362
2022-09-27,12,24.916666666666668,2022-09-27,72914.513,0.013646986353854362
